Type,Layer,Class1,Class2,ActivationPercentage
mlp,5,mmlu,programming,64.251708984375
mlp,5,programming,programming,72.42431640625
mlp,6,empathetic_dialogue,empathetic_dialogue,44.4091796875
mlp,6,empathetic_dialogue,math,31.353759765625
mlp,6,empathetic_dialogue,mmlu,42.095947265625
mlp,6,empathetic_dialogue,programming,41.314697265625
mlp,6,math,math,52.117919921875
mlp,6,math,mmlu,46.624755859375
mlp,6,math,programming,48.0712890625
mlp,6,mmlu,mmlu,68.0419921875
mlp,6,mmlu,programming,60.601806640625
mlp,6,programming,programming,69.49462890625
mlp,7,empathetic_dialogue,empathetic_dialogue,37.51220703125
mlp,7,empathetic_dialogue,math,20.2880859375
mlp,7,empathetic_dialogue,mmlu,33.514404296875
mlp,7,empathetic_dialogue,programming,31.988525390625
mlp,7,math,math,39.8681640625
mlp,7,math,mmlu,34.33837890625
mlp,7,math,programming,35.052490234375
mlp,7,mmlu,mmlu,63.22021484375
mlp,7,mmlu,programming,50.57373046875
mlp,7,programming,programming,61.23046875
mlp,8,empathetic_dialogue,empathetic_dialogue,43.890380859375
mlp,8,empathetic_dialogue,math,27.081298828125
mlp,8,empathetic_dialogue,mmlu,40.045166015625
mlp,8,empathetic_dialogue,programming,38.214111328125
mlp,8,math,math,46.600341796875
mlp,8,math,mmlu,41.5771484375
mlp,8,math,programming,42.352294921875
mlp,8,mmlu,mmlu,69.0673828125
mlp,8,mmlu,programming,57.037353515625
mlp,8,programming,programming,66.27197265625
mlp,9,empathetic_dialogue,empathetic_dialogue,42.034912109375
mlp,9,empathetic_dialogue,math,25.592041015625
mlp,9,empathetic_dialogue,mmlu,38.3056640625
mlp,9,empathetic_dialogue,programming,36.279296875
mlp,9,math,math,45.78857421875
mlp,9,math,mmlu,40.399169921875
mlp,9,math,programming,41.143798828125
mlp,9,mmlu,mmlu,66.63818359375
mlp,9,mmlu,programming,54.65087890625
mlp,9,programming,programming,64.111328125
mlp,10,empathetic_dialogue,empathetic_dialogue,38.800048828125
mlp,10,empathetic_dialogue,math,25.6103515625
mlp,10,empathetic_dialogue,mmlu,36.0107421875
mlp,10,empathetic_dialogue,programming,34.783935546875
mlp,10,math,math,46.96044921875
mlp,10,math,mmlu,40.850830078125
mlp,10,math,programming,42.742919921875
mlp,10,mmlu,mmlu,61.651611328125
